ARA Level,Atlas Name,Atlas Version,Case Name,Channel Number,Connection Lens Version,Injection Site,Overlap Format,Project Name,Secondary Injection Site,Seconday Injection Site,Slide Number,Threshold Adjusted,Tracer,(HEMISPHERE:R:G:B),ATLAS ONLY,OVERLAP,REGION
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:84:191:144),409899,0,AON_e
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:84:191:145),309683,0,AON_l
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:84:191:148),3,0,AON_m
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:84:191:149),336572,0,AON_1
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:130:199:172),1153640,0,MOB_gr
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:130:199:173),175807,0,MOB_mi
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:130:199:174),875053,0,MOB_gl
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:130:199:175),1050760,0,MOB_opl
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:130:199:176),167096,0,MOB_ipl
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:154:210:189),8494,0,border9
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:157:240:207),177405,0,AOB_gr
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:157:240:208),137688,0,AOB_mi
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:157:240:209),121804,0,AOB_gl
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:157:240:210),120659,0,AOB
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:170:170:170),73621,0,rc/sez
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:191:218:227),59703,0,BORDER0
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:204:204:204),452206,0,onl
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:204:204:205),620568,0,aco/lotd
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:204:204:208),67599,0,von
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(l:255:255:255),74686012,0,BORDER6
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(r:84:191:144),409899,0,AON_e
021,ARA,1,SW180509-01A,4,2.5.1,PF,Region,SW180509-01A,None,None,1_28,True,AAVRetro-Cre,(r:84:191:145),309683,0,AON_l
